Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Region,IncomeGroup
Aruba,ABW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,67.459,67.394,67.922,68.389,68.902,69.319,69.789,70.144,70.542,70.918,71.281,71.643,72.324,73.009,73.432,73.832,73.991,74.119,74.227,74.349,74.419,74.846,74.942,75.038,75.14,75.225,75.282,75.647,75.692,75.701,75.701,75.697,75.7,75.714,75.731,75.753,75.768,75.787,75.823,75.573,75.651,75.758,75.825,75.898,75.872,75.992,76.109,76.252,76.404,76.64,77.57,77.709,77.899,77.961,78.124,78.139,78.203,78.25,78.708,78.814,78.333,76.417,78.691,78.779,78.918,Latin America & Caribbean,High income
Africa Eastern and Southern,AFE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,45.998073645990154,46.36846086280016,46.74393619233937,47.09481659681246,47.49920606769978,47.76927855814476,47.682253514020154,48.431423859947564,48.74555121230415,48.99162311155138,49.278810689556266,49.5120194756181,49.21290629206733,49.736609243751005,49.71650873857535,49.913377683961215,50.64531932178963,50.98617900896298,51.24585238033404,51.655009885403565,52.05724200598201,52.2894824172499,52.60446069409311,51.116455973088186,51.31390517097641,51.66630670911915,52.28430020691761,53.310390733018345,53.07675117189136,53.495355185615686,53.30764462067728,52.897080513970096,52.65975356333165,53.03978275223529,52.842670625996355,53.30135060929099,53.18663332081096,53.32967556640615,53.2310627518121,53.74254087663321,54.11123094963746,54.387836418654715,54.74157154254304,55.18495105140565,55.74201911575516,56.3577050139746,57.25363665826688,58.12812841495138,59.006822495448716,59.917844189345494,60.71896131155673,61.163046973720846,62.310221491899455,63.06664001022302,63.543476774274595,64.06347841851125,64.6100394308735,65.0825533065014,65.87276155555458,66.43443582119373,66.53667158486653,65.65296810345299,67.2312026473308,67.9146324839804,68.12907635365016,Region Unavailable,Income Unavailable
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,33.549,34.043,34.502,34.945,35.428,35.9,36.38,36.851,37.281,37.758,38.261,38.752,39.255,39.778,40.291,40.813,41.333,41.88,41.479,40.881,41.379,41.695,39.518,40.093,36.422,37.101,42.072,42.603,45.962,47.042,47.703,48.282,49.607,52.296,53.135,53.694,54.426,54.72,54.392,55.966,56.555,57.089,57.442,58.472,59.073,59.588,60.123,60.804,61.428,61.791,62.283,62.852,63.344,63.814,64.009,64.178,64.64,65.606,65.942,66.144,64.656,64.079,67.236,67.536,67.812,Middle East & North Africa,Low income
Africa Western and Central,AFW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,39.817585911532376,40.12091500218943,40.41131221644128,40.68798593393349,40.969122193687426,41.264518688146275,41.485939561065706,41.504027162204146,42.167978535815564,42.44447644032526,42.86615966865327,43.31884984872424,44.00355108150108,44.553334098790494,45.14832037851993,45.74803201296755,46.248432561473095,46.85588816654858,47.39803422369362,47.88405733622556,48.29130611004502,48.69975937732924,49.01756414011036,49.25213389200704,49.43345362117029,49.55565551575065,49.58463911254331,49.71919624158166,49.84903634172509,49.954241099395304,49.963865043307955,49.96014461689769,50.098205716465536,50.30680293694855,50.309575674086986,50.42475430127832,50.437053041654956,50.522027396245804,50.59653922455515,50.92134639511092,51.306644195845244,51.58108818411549,51.933084136834474,52.375183111867514,52.8698604844836,53.40836772317453,53.84997877944374,54.37036671917999,54.789569507063625,54.82115890848029,55.53784232181179,55.87801199042936,56.20573632530193,56.511716386720046,56.699463689780664,56.99288975900753,57.33015467721778,57.61296164341226,58.02614365884599,58.200833100334606,58.54975292525759,58.46915768775219,59.13832129424821,59.99234702918652,60.20914837993423,Region Unavailable,Income Unavailable
Angola,AGO,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,39.739,39.885,40.218,40.507,40.813,41.12,41.487,41.837,42.23,42.577,42.964,43.311,43.702,44.04,44.419,44.179,44.233,44.585,44.889,45.184,45.47,45.75,46.016,45.456,45.686,45.891,46.072,44.624,45.125,45.315,45.43,46.844,45.563,46.723,47.745,48.16,48.402,48.684,48.047,49.003,49.132,50.047,50.367,52.181,53.074,54.051,54.811,56.041,57.162,58.129,59.221,60.21,61.157,62.009,62.728,63.412,64.009,64.527,65.057,65.506,65.774,65.441,66.753,67.144,67.344,Sub-Saharan Africa,Lower middle income
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,58.877,59.995,61.047,62.086,63.048,63.934,64.814,65.642,66.476,67.237,67.946,68.612,69.246,69.844,70.4,70.918,71.399,71.852,72.269,72.597,72.967,73.287,73.618,73.97,74.329,74.684,75.138,75.477,75.726,75.956,76.195,76.452,76.72,77.0,77.206,77.407,77.533,77.052,77.725,77.822,77.926,78.031,78.142,78.329,78.753,79.303,79.943,80.584,81.076,81.282,81.108,80.916,80.589,80.387,80.267,80.451,80.625,80.795,81.001,81.06,80.345,79.002,80.781,81.446,81.593,Europe & Central Asia,Upper middle income
Andorra,AND,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,75.081,75.744,76.372,76.871,77.352,77.688,77.909,77.979,78.002,77.988,78.075,78.193,78.461,78.751,79.072,79.391,79.785,80.154,80.569,80.975,81.37,81.69,81.971,82.196,82.404,82.571,82.775,82.96,83.117,83.235,83.387,83.471,83.609,83.823,84.085,84.294,84.51,84.713,84.864,85.068,85.098,85.167,85.13,85.116,84.979,85.272,85.593,85.976,86.292,86.611,86.684,86.692,86.669,86.652,86.626,86.584,86.468,86.322,86.196,86.101,83.84,84.678,86.075,86.107,86.24,Europe & Central Asia,High income
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,46.91748804270688,47.709108951536805,48.17215214873874,48.881887344152204,49.4478716014478,50.027022467157465,50.55594558545643,51.07205780619301,51.57507528548992,52.10355121759324,52.617522071622645,53.17777045934492,53.743712092163655,54.32312037475689,54.87824680755375,55.50880079923592,55.80884830770687,56.938553916484054,57.63337244491157,58.366024788128705,59.1926368045577,59.98462617374503,60.370358649530594,60.989660765974364,61.64728730866158,62.279681631814505,63.32957050387787,63.85155138618142,64.0504151508209,64.4448191776785,64.91352569486614,64.76849850632402,65.39333609233772,66.4981765708624,66.84251925474774,67.18791255585529,67.49126390910804,67.79697478100529,68.13744432234525,68.44207236385496,68.7902015139042,69.16099347018812,69.52476613074448,69.73458741620404,69.9174908312166,70.2129793605623,70.69187110035594,71.02528501988702,71.26934730520257,71.59735390118111,71.68589886527964,71.26227584237756,71.91861245238456,72.29707482795915,72.60396814264352,72.81917461048769,73.12469602627162,73.23103499757235,73.50983689934712,73.8579252362595,72.95441769668714,72.3672117797234,73.87831179268339,74.41891023945266,74.69552174569847,Region Unavailable,Income Unavailable
United Arab Emirates,ARE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,54.635,55.611,56.605,57.624,58.647,59.673,60.776,61.844,62.898,63.921,64.902,65.83,66.698,67.505,68.252,68.938,69.565,70.135,70.654,71.126,71.555,71.947,72.304,72.627,72.914,73.162,73.371,73.537,73.66,73.743,73.787,73.793,73.761,73.713,73.721,73.866,74.238,74.903,75.88,77.038,78.229,79.343,80.315,81.11,81.737,82.222,82.585,82.837,82.986,83.044,83.044,83.021,83.01,83.046,83.157,83.328,83.529,83.732,83.912,84.047,83.9,80.926,82.115,84.204,84.319,Middle East & North Africa,High income
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,67.789,68.236,68.282,68.575,68.537,68.819,69.095,69.288,69.193,69.133,69.564,69.417,69.764,70.087,70.371,70.913,70.983,71.559,71.708,72.001,72.047,72.436,72.557,72.706,72.778,73.402,73.81,74.219,74.623,75.039,74.878,75.344,75.496,75.707,75.909,76.17,76.433,76.838,76.876,77.075,77.288,77.642,77.911,77.808,78.177,78.632,78.437,77.925,78.577,78.593,78.732,79.402,78.672,78.623,79.15,79.795,79.131,79.204,79.505,79.439,78.783,76.86,78.318,79.875,80.02,Latin America & Caribbean,Upper middle income
Armenia,ARM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,62.15,62.598,63.038,63.467,63.881,64.277,64.653,65.008,65.343,65.658,65.954,66.232,66.475,66.715,66.959,67.217,67.488,67.784,68.088,68.398,68.706,69.011,69.319,69.621,69.915,70.201,70.475,70.737,53.561,71.233,71.461,71.699,71.896,72.144,72.375,72.619,72.865,73.118,73.397,73.687,75.8,76.1,75.9,75.9,76.1,76.2,76.0,76.1,76.3,76.3,76.4,77.3,77.5,77.9,78.1,78.2,78.3,78.7,79.0,79.5,78.6,77.4,78.3,81.0,81.7,Europe & Central Asia,Upper middle income
American Samoa,ASM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,67.107,67.916,68.427,68.567,68.454,68.211,58.583,68.019,68.128,68.465,69.02,69.696,70.294,70.698,71.04,71.331,71.59,71.822,72.031,72.24,72.538,72.875,73.07,73.187,73.275,73.511,73.887,74.291,74.663,74.852,75.242,75.551,75.784,75.662,75.554,75.422,75.322,75.246,74.89,74.591,74.351,74.483,74.657,74.59,75.125,75.125,75.043,74.947,75.03,73.123,75.199,75.286,75.372,75.418,75.296,75.268,75.305,75.588,75.687,75.723,75.682,75.73,75.794,75.838,75.994,East Asia & Pacific,High income
Antigua and Barbuda,ATG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,64.755,65.52,66.232,67.002,67.786,68.584,69.353,70.093,70.778,71.397,71.966,72.487,72.957,73.374,73.777,74.145,74.502,74.883,75.262,75.595,75.853,76.05,76.237,76.381,76.499,76.573,76.603,76.59,76.532,76.328,76.338,76.22,76.128,76.168,76.347,76.526,76.949,77.304,77.517,77.864,78.295,78.592,78.519,78.276,78.179,78.298,78.575,78.817,79.165,79.509,79.879,80.234,80.379,80.325,80.138,79.973,79.923,79.88,79.887,79.844,79.813,79.757,80.154,80.294,80.446,Latin America & Caribbean,High income
Australia,AUS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,74.0,74.2,74.2,74.2,74.2,74.2,74.2,74.26,74.32,74.38,74.44,74.5,74.92,75.34,75.76,76.18,76.6,76.94,77.28,77.62,77.96,78.3,78.48,78.66,78.84,79.02,79.2,79.44,79.68,79.92,80.16,80.4,80.4,80.9,80.9,80.8,81.1,81.4,81.5,81.8,82.0,82.4,82.6,82.8,83.0,83.3,83.5,83.7,83.7,83.9,84.0,84.2,84.3,84.3,84.4,84.5,84.6,84.6,84.9,85.0,85.3,85.4,85.3,85.1,85.1,East Asia & Pacific,High income
Austria,AUT,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,71.92,72.84,72.48,72.65,73.2,72.99,73.37,73.37,73.52,73.27,73.5,73.7,74.1,74.6,74.7,74.7,75.1,75.5,75.7,76.0,76.1,76.5,76.7,76.7,77.3,77.4,77.8,78.2,78.7,78.8,79.0,79.1,79.3,79.5,79.8,80.1,80.2,80.7,81.0,81.0,81.2,81.7,81.7,81.5,82.1,82.2,82.8,83.1,83.3,83.2,83.5,83.8,83.6,83.8,84.0,83.7,84.1,84.0,84.1,84.2,83.6,83.7,83.6,84.2,84.3,Europe & Central Asia,High income
Azerbaijan,AZE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,54.873,55.513,56.163,56.802,57.402,58.017,58.645,59.201,59.732,60.24,60.729,61.171,61.594,61.973,62.335,62.691,63.201,63.579,63.92,64.156,64.477,64.725,64.959,65.183,65.019,65.483,65.201,65.577,65.568,65.982,66.145,66.013,65.484,65.788,65.981,65.756,66.477,66.653,67.341,67.877,68.595,68.906,69.618,69.939,70.371,70.712,71.603,71.789,72.318,72.61,73.101,73.517,73.888,74.52,74.818,75.344,75.342,75.622,75.946,76.235,73.799,73.744,76.674,77.134,77.285,Europe & Central Asia,Upper middle income
Burundi,BDI,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,44.713,44.657,44.766,44.86,44.895,43.736,44.806,44.636,44.641,44.372,44.547,44.471,28.179,39.216,44.56,44.712,44.979,45.211,45.66,46.361,47.063,47.79,48.412,48.894,49.202,49.233,49.053,48.844,45.354,47.538,46.962,46.477,46.18,39.418,46.226,46.428,46.76,47.671,48.676,49.486,49.914,50.868,51.879,52.735,53.805,54.589,55.47,56.308,57.104,57.917,58.532,59.251,59.95,60.689,61.33,61.874,62.502,63.124,63.615,64.028,64.58,64.111,64.916,65.697,65.881,Sub-Saharan Africa,Low income
Belgium,BEL,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,72.77,73.63,73.18,73.14,73.9,73.76,73.8,74.25,73.92,74.13,74.25,74.4,74.76,74.98,75.31,75.28,75.49,76.18,76.14,76.61,76.69,77.12,77.33,77.27,77.98,78.08,78.23,78.9,79.1,79.09,79.54,79.67,79.87,79.9,80.19,80.38,80.66,80.7,80.7,81.0,81.0,81.2,81.2,81.1,81.9,81.9,82.3,82.6,82.6,82.8,83.0,83.3,83.1,83.2,83.9,83.4,84.0,83.9,83.9,84.3,83.0,84.3,83.9,84.5,84.4,Europe & Central Asia,High income
Benin,BEN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,40.694,41.271,41.637,42.081,42.556,43.056,43.224,43.692,44.18,44.642,45.103,45.403,46.004,46.491,46.983,47.556,48.231,48.912,49.415,49.882,50.332,50.77,51.213,51.636,52.256,52.872,53.581,54.159,54.926,55.373,55.899,56.247,56.863,57.119,57.331,57.552,57.613,57.91,58.015,58.169,58.286,58.249,58.292,58.409,58.565,58.903,59.13,59.365,59.095,59.178,59.265,59.33,59.45,59.798,59.96,60.096,60.291,60.632,60.752,61.069,61.569,60.825,61.75,62.208,62.416,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,37.252,37.564,37.954,38.3,38.649,39.002,39.372,39.717,40.069,40.355,40.944,41.28,41.75,42.296,43.03,43.801,44.61,45.448,46.28,46.972,47.743,48.086,48.823,49.2,49.558,49.8,49.998,50.101,50.147,50.181,50.232,50.283,50.381,50.467,50.577,50.714,50.909,50.814,51.473,51.819,52.205,52.609,52.857,53.361,53.977,54.656,55.218,55.808,56.646,57.229,57.791,58.494,58.954,59.416,59.874,60.364,60.768,61.195,61.604,61.948,62.314,61.831,62.558,63.222,63.432,Sub-Saharan Africa,Low income
Bangladesh,BGD,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,43.178,44.016,44.926,44.767,45.876,44.945,46.715,47.106,47.405,47.654,40.709,32.715,48.58,48.844,48.6,49.581,49.913,50.241,50.594,50.992,51.365,51.782,52.236,52.762,53.263,53.437,54.238,54.608,54.913,55.259,55.574,53.102,56.404,56.959,57.633,58.362,59.194,60.064,60.954,61.893,62.813,63.703,64.548,65.321,66.01,66.668,67.273,67.743,68.451,69.058,69.687,70.323,70.944,71.538,72.095,72.597,73.066,73.51,73.953,74.399,73.428,72.847,76.051,76.373,76.667,South Asia,Lower middle income
Bulgaria,BGR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,71.03,72.06,71.3,72.02,72.96,73.23,73.18,72.56,73.32,72.74,73.51,73.24,73.23,73.77,73.6,73.58,73.92,73.5,73.72,74.11,73.99,74.43,74.08,74.48,74.66,74.46,75.06,74.81,74.99,75.19,75.15,74.88,75.09,75.26,75.25,74.9,74.58,73.87,74.8,75.1,75.3,75.2,75.4,75.6,76.2,76.3,76.3,76.3,76.6,77.1,77.2,77.8,77.9,78.6,78.0,78.2,78.5,78.4,78.6,78.8,77.3,74.9,77.9,79.7,79.5,Europe & Central Asia,High income
Bahrain,BHR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,52.554,54.161,55.813,57.353,58.828,60.235,61.569,62.825,64.0,65.09,66.093,67.007,67.791,68.581,69.254,69.861,70.409,70.902,71.368,71.787,72.144,72.46,72.732,72.963,73.151,73.291,73.376,73.412,73.407,73.391,73.397,73.457,73.599,73.837,74.15,74.51,74.888,75.253,75.585,75.88,76.149,76.404,76.658,76.926,77.222,77.551,77.918,78.326,78.772,79.25,79.733,80.196,80.611,80.95,81.19,81.344,81.432,81.478,81.507,81.54,80.954,78.844,81.809,81.987,82.127,Middle East & North Africa,High income
"Bahamas, The",BHS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,65.382,65.76,66.143,66.522,66.93,67.356,67.634,68.082,68.442,68.83,69.225,69.58,69.875,70.234,70.665,71.217,71.642,71.938,72.145,72.34,72.555,72.837,73.171,73.536,73.794,73.972,74.057,74.147,74.256,74.433,74.634,74.826,74.913,75.046,75.099,75.147,75.219,75.332,75.478,75.666,75.899,76.121,76.35,76.538,76.542,76.767,76.873,76.939,77.008,77.061,77.05,77.151,77.301,77.586,77.749,77.443,77.757,77.725,77.731,74.176,76.788,74.145,78.09,78.187,78.327,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,60.453,61.219,62.125,62.334,63.343,64.128,65.192,65.933,66.38,67.115,67.794,68.187,68.54,69.422,70.44,71.22,71.246,71.577,71.731,72.162,72.717,73.197,73.447,73.486,73.764,73.943,74.241,74.409,74.707,75.287,75.511,75.927,64.822,64.522,75.864,75.032,77.052,77.455,77.84,78.136,78.37,78.7,79.233,79.594,79.819,79.816,79.607,79.683,79.833,80.159,80.214,80.246,80.324,80.35,80.19,80.177,80.089,80.086,81.435,80.463,79.393,77.649,80.728,80.903,81.068,Europe & Central Asia,Upper middle income
Belarus,BLR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,72.736,73.124,73.04,73.121,74.2,74.273,74.405,74.74,74.497,75.009,74.714,74.657,74.721,74.753,74.816,74.653,74.52,74.614,74.335,74.611,74.308,74.443,74.806,74.505,74.553,75.5,75.98,75.6,75.9,76.4,75.6,75.5,75.4,74.4,74.3,74.3,74.3,74.3,74.4,73.9,74.7,74.5,74.1,74.7,75.0,75.1,75.5,76.2,76.5,76.4,76.5,76.7,77.6,77.9,78.4,78.9,79.0,79.2,79.4,79.4,77.428,77.176,79.002,79.065,79.223,Europe & Central Asia,Upper middle income
Belize,BLZ,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,59.542,53.689,60.722,61.175,61.583,62.022,62.546,63.122,63.711,64.268,64.846,65.363,65.831,66.365,66.88,67.406,67.843,68.266,68.436,68.762,68.891,69.02,69.186,69.502,69.957,70.415,70.912,71.344,71.633,71.785,71.82,71.886,71.836,71.864,71.877,71.854,71.821,71.728,71.522,71.668,71.627,71.66,72.364,72.599,72.954,73.042,73.233,73.359,73.376,73.584,73.715,73.874,74.142,74.34,74.552,74.803,74.986,75.217,75.45,75.668,74.463,73.796,75.104,76.495,76.663,Latin America & Caribbean,Upper middle income
Bermuda,BMU,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,69.567,70.699,71.03,70.886,70.776,71.002,71.297,71.545,71.964,72.344,72.788,73.264,73.787,74.285,74.641,75.015,75.359,75.772,76.132,76.544,76.844,77.141,77.386,77.652,77.783,77.857,77.915,77.975,77.994,78.043,78.091,78.168,78.366,78.703,79.392,80.179,80.728,81.047,81.401,81.876,82.221,82.443,82.61,82.533,83.052,83.264,83.42,83.526,83.572,83.64,83.835,84.138,84.353,84.439,84.535,84.543,84.562,84.647,84.842,85.033,85.195,85.385,85.566,85.742,85.871,North America,High income
Bolivia,BOL,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,45.562,45.838,46.162,46.496,46.838,47.263,47.682,48.064,48.49,48.769,49.189,49.52,49.741,50.199,50.601,51.18,51.756,52.151,52.493,52.952,53.397,53.794,53.979,54.355,54.91,55.234,55.691,56.37,56.991,57.714,58.379,59.025,59.597,60.394,61.132,61.722,62.21,62.668,63.2,63.709,64.14,64.74,65.377,65.782,66.134,66.523,66.825,67.303,67.636,67.964,68.323,68.588,68.879,69.105,69.3,69.552,69.757,69.951,70.132,70.266,67.126,65.25,70.255,71.145,71.324,Latin America & Caribbean,Lower middle income
Brazil,BRA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,55.509,55.954,56.397,56.857,57.281,57.709,58.102,58.497,58.958,59.395,59.837,60.289,60.761,61.172,61.541,61.987,62.405,62.83,63.275,63.73,64.195,64.656,65.121,65.572,65.997,66.441,66.869,67.286,67.734,68.221,68.706,69.187,69.667,70.108,70.527,70.947,71.367,71.779,72.152,72.546,72.96,73.4,73.843,74.337,74.824,75.292,75.744,76.191,76.585,76.93,77.257,77.532,77.816,78.062,78.273,78.472,78.539,78.781,78.977,79.023,77.599,76.401,78.094,78.983,79.145,Latin America & Caribbean,Upper middle income
Barbados,BRB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,65.451,66.664,67.303,67.756,68.138,68.739,69.177,69.542,69.766,70.118,70.182,70.575,70.928,71.07,71.323,71.617,71.948,72.508,73.038,73.388,73.897,74.281,74.67,74.931,75.127,75.143,75.316,75.489,75.57,75.564,75.754,75.891,76.066,76.3,76.427,76.616,76.804,76.775,77.134,77.225,77.018,76.983,76.99,77.036,77.295,77.184,77.229,77.513,77.537,77.728,77.642,77.752,77.86,77.952,78.055,78.157,78.271,78.296,78.427,78.536,78.649,78.72,78.274,78.615,78.763,Latin America & Caribbean,High income
Brunei Darussalam,BRN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,58.996,59.633,60.1,60.848,61.42,61.857,62.521,63.055,63.598,64.144,64.704,65.276,65.862,66.501,67.069,67.644,68.207,68.775,69.272,69.772,70.29,70.739,71.207,71.64,71.99,72.349,72.68,72.99,73.189,73.482,73.773,74.059,74.345,74.64,74.904,75.191,75.465,75.721,75.971,76.181,76.386,76.569,76.708,76.823,76.912,76.976,77.03,77.06,77.08,77.087,77.082,77.097,77.092,77.107,77.107,77.124,77.145,77.181,77.23,77.286,77.35,77.032,74.813,77.555,77.733,East Asia & Pacific,High income
Bhutan,BTN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,37.328,37.615,37.967,38.362,38.806,39.299,39.828,40.392,40.985,41.581,42.181,42.814,43.483,44.151,44.823,45.482,46.224,46.974,47.735,48.528,49.32,50.11,50.918,51.701,52.451,53.182,53.999,54.817,55.621,56.405,57.141,57.8,58.578,59.293,59.785,60.711,61.441,62.13,62.848,63.573,63.446,64.891,65.617,66.31,66.949,67.547,68.258,68.886,69.44,69.816,70.512,71.052,71.513,71.894,72.215,72.487,72.876,73.246,73.585,73.898,74.191,74.365,74.722,74.965,75.27,South Asia,Lower middle income
