Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Region,IncomeGroup
Aruba,ABW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,60.746,61.114,61.371,61.601,61.824,62.047,62.582,62.761,63.086,63.419,63.737,64.053,64.482,64.865,65.263,65.452,65.76,66.1,66.411,66.748,67.176,67.866,68.049,68.224,68.351,68.452,68.506,69.349,69.476,69.518,69.543,69.589,69.724,69.813,69.827,69.87,69.895,69.963,69.996,70.063,70.149,70.251,70.364,70.488,70.487,70.741,70.791,70.93,71.058,71.201,70.997,71.378,71.685,72.043,72.245,72.496,72.691,72.802,72.88,73.047,72.344,70.794,73.537,73.702,73.845,Latin America & Caribbean,High income
Africa Eastern and Southern,AFE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,42.44890943320745,42.681453289120014,43.11769066215007,43.34170176290597,43.682342117898315,43.89146619530286,43.968311539591625,44.57119775933154,44.8518918416598,45.08364802039741,45.33665432179658,45.527180741183486,45.237621150946744,45.85985398577572,45.877218063470394,46.12803301732927,46.612737122543564,46.862887235458814,46.87426616272345,47.32367411124071,47.72033135134485,47.89087467239662,48.120713466329974,46.82556978632843,46.816737025657275,47.24167909958867,47.85532873145048,48.93985181641928,48.792563760019554,49.14974786206458,48.99898718682858,48.94376438279187,48.86721701149887,49.19932243963948,49.2041382804157,49.71751545819403,49.568529415140304,49.820467593958455,49.441880420914714,49.9085052836855,50.99441902539776,51.35162671847026,51.65702055301596,52.15615444548514,52.62818710324424,53.23594008491529,54.10512090506322,54.81462799030498,55.44901824996027,56.24764332619986,56.909108674204084,57.209722419459915,58.16477867847887,58.709024717585855,58.95400146267075,59.359626200381236,59.73222025548641,60.10681799842221,60.796394384538516,61.28926410168862,61.04809282375757,60.35187381904111,61.76590733970005,62.395578815715865,62.58877635148985,Region Unavailable,Income Unavailable
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,32.136,32.626,33.098,33.543,34.004,34.438,34.877,35.324,35.825,36.287,36.748,37.202,37.681,38.213,38.734,39.261,39.787,40.363,38.855,37.09,37.428,37.433,33.251,33.599,27.823,28.393,35.27,35.601,40.742,42.132,42.712,42.959,43.765,49.755,48.883,50.536,51.26,51.725,50.636,53.102,53.463,53.941,54.986,55.849,56.519,56.88,56.974,57.122,57.984,58.681,59.097,59.625,60.099,60.534,60.495,60.363,60.661,59.388,59.175,59.91,58.455,57.052,63.941,64.467,64.704,Middle East & North Africa,Low income
Africa Western and Central,AFW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,35.925673344290054,36.181219365626,37.031000071192956,37.26740173004749,37.50383083772295,37.77781379194072,38.032949888690766,37.67332510850915,38.44906397820841,38.78523722530926,39.74233343702964,40.191403217368226,40.76168439348254,41.23747380609936,41.780344928471436,42.247823466776424,43.28866682565162,43.899663900829204,44.38714735152868,44.80793624753254,45.139006584312355,45.491054060025014,45.77143784275763,46.025400608613324,46.19741787161832,46.36412886107703,46.51807572894551,46.60208023015554,46.91418981954834,47.05895322679894,46.99650446803409,47.12113317402978,47.2967791589645,47.42388802413784,47.42897569417228,47.64628297334048,47.79657832985063,47.929272473940955,48.3038074362417,48.72216952454606,49.276147987175854,49.75991671676177,50.267590677401365,50.76643546244422,51.32686450243711,51.688587101826194,52.092030365775656,52.582463867559625,53.033338708733964,52.91565185884881,53.665935330966896,54.04742106012769,54.378232968875864,54.60113461536864,54.70464633266354,55.0867804878615,55.45909062405438,55.65168935724011,56.05629638996531,56.134076372700264,56.20842056753183,56.28518437394973,56.89287140369772,57.73982482867381,57.912290084231756,Region Unavailable,Income Unavailable
Angola,AGO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,36.248,34.266,34.489,34.72,34.996,35.236,35.48,35.849,36.18,36.559,36.908,37.316,37.701,38.143,38.531,37.936,37.882,38.312,38.7,39.062,39.411,39.738,40.054,38.923,39.213,39.48,39.759,37.441,38.234,38.468,38.639,40.991,39.243,38.227,39.819,44.145,44.457,44.716,42.954,42.799,43.963,44.162,45.446,48.258,49.17,50.203,51.107,52.345,53.386,54.308,55.253,55.976,56.677,57.404,58.068,58.68,59.237,59.727,60.199,60.609,60.509,60.498,61.748,62.099,62.275,Sub-Saharan Africa,Lower middle income
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,54.005,55.028,56.0,56.938,57.824,58.677,59.543,60.364,61.151,61.888,62.581,63.246,63.87,64.442,64.954,65.425,65.861,66.271,66.625,66.828,67.04,67.21,67.441,67.658,67.867,68.115,68.437,68.727,68.94,69.174,69.412,69.705,70.014,70.38,70.566,70.734,70.798,69.866,71.092,71.405,71.804,72.204,72.529,72.864,73.242,73.663,74.183,74.922,75.531,75.842,75.825,75.792,75.66,75.666,75.83,76.281,76.662,76.997,77.448,77.834,75.429,74.742,76.751,77.728,77.924,Europe & Central Asia,Upper middle income
Andorra,AND,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.109,69.454,69.735,69.924,70.175,70.386,70.583,70.741,70.934,71.111,71.353,71.583,71.855,72.084,72.311,72.514,72.787,73.054,73.357,73.663,73.956,74.199,74.403,74.548,74.654,74.719,74.79,74.845,75.033,75.281,75.815,76.367,77.021,77.549,78.071,78.207,78.392,78.479,78.577,78.856,79.353,79.778,80.266,80.734,80.99,81.24,81.501,81.676,81.846,82.037,82.138,82.188,82.271,82.361,82.493,82.581,82.569,82.462,82.359,82.183,75.823,80.216,82.083,82.1,82.258,Europe & Central Asia,High income
Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,42.85012716796957,43.5584048880517,44.00507944272136,45.223308455994434,45.830552195246504,46.35039701707312,46.84036993550942,47.26311448510689,47.87490610664533,48.33326049289464,48.89859044020129,49.57309291327146,50.15356262790341,50.41662099385418,51.096843746638456,51.492546132987194,52.04671050340006,53.32048504261326,53.9771685169469,54.690927958481254,54.98869059649885,55.40015161465762,55.64721040192797,56.522987133116146,57.2418116867819,57.92093951781933,58.746556898633344,59.59209518264208,59.56038257388234,60.32933731661993,60.77610857006589,61.013084372232754,61.85389137561026,62.80791022547847,62.975236668002296,63.33500154812653,63.67824284847164,64.02401203224191,64.36618136772982,64.76787182423652,65.1035228590404,65.4399958606964,65.76479703158473,65.72763908122215,65.73855099105161,66.0587941655732,66.4978272823976,66.93873538217295,67.42890517878575,67.98155608245747,68.08671635601408,67.63331187373866,67.97742022339827,68.30828270497386,68.68059409370235,68.74614117703894,68.92381761645956,69.21587307531367,69.5542150183664,69.99498450605684,68.74608261707095,68.62546503756998,70.03009886674354,70.61943662551045,70.89560216634267,Region Unavailable,Income Unavailable
United Arab Emirates,ARE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,48.027,48.999,49.97,50.951,51.968,53.035,54.109,55.234,56.373,57.503,58.604,59.656,60.648,61.579,62.45,63.263,64.021,64.725,65.376,65.973,66.518,67.011,67.456,67.857,68.218,68.543,68.835,69.096,69.326,69.519,69.671,69.78,69.84,69.87,69.952,70.18,70.65,71.451,72.617,74.006,75.437,76.768,77.915,78.825,79.518,80.035,80.42,80.708,80.918,81.063,81.157,81.215,81.249,81.272,81.298,81.333,81.378,81.434,81.504,81.588,80.797,77.872,79.381,81.978,82.168,Middle East & North Africa,High income
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,61.202,61.526,61.474,61.65,61.609,61.783,62.157,62.126,61.779,61.553,62.165,62.21,62.517,62.671,62.808,63.367,63.406,63.944,64.535,65.072,65.282,65.455,65.559,66.002,66.054,66.474,66.852,67.256,67.632,68.008,68.347,68.681,68.691,68.892,69.501,69.521,69.656,69.95,69.935,70.263,70.498,70.637,70.704,70.796,71.5,71.767,72.021,71.574,72.192,72.449,72.542,72.739,72.851,72.963,73.303,73.367,73.044,73.791,73.951,74.163,72.981,71.113,73.249,74.805,74.976,Latin America & Caribbean,Upper middle income
